,name,year,selling_price,km_driven,fuel,mileage(km/ltr/kg),engine,max_power,seats
0,Maruti Swift Dzire,2014,450000,145500,Diesel,23.4,1248.0,74.0,5.0
1,Skoda Rapid 1.5,2014,370000,120000,Diesel,21.14,1498.0,103.52,5.0
2,Honda City 2017-2020,2006,158000,140000,Petrol,17.7,1497.0,78.0,5.0
3,Hyundai i20 Sportz,2010,225000,127000,Diesel,23.0,1396.0,90.0,5.0
4,Maruti Swift VXI,2007,130000,120000,Petrol,16.1,1298.0,88.2,5.0
5,Hyundai Xcent 1.2,2017,440000,45000,Petrol,20.14,1197.0,81.86,5.0
6,Maruti Wagon R,2007,96000,175000,LPG,17.3,1061.0,57.5,5.0
7,Maruti 800 DX,2001,45000,5000,Petrol,16.1,796.0,37.0,4.0
8,Toyota Etios VXD,2011,350000,90000,Diesel,23.59,1364.0,67.1,5.0
9,Ford Figo Diesel,2013,200000,169000,Diesel,20.0,1399.0,68.1,5.0
10,Renault Duster 110PS,2014,500000,68000,Diesel,19.01,1461.0,108.45,5.0
11,Maruti Zen LX,2005,92000,100000,Petrol,17.3,993.0,60.0,5.0
12,Maruti Swift Dzire,2009,280000,140000,Diesel,19.3,1248.0,73.9,5.0
13,Maruti Wagon R,2009,180000,90000,Petrol,18.9,1061.0,67.0,5.0
14,Mahindra KUV 100,2016,400000,40000,Petrol,18.15,1198.0,82.0,5.0
15,Maruti Ertiga SHVS,2016,778000,70000,Diesel,24.52,1248.0,88.5,7.0
16,Hyundai i20 1.4,2012,500000,53000,Diesel,23.0,1396.0,90.0,5.0
17,Maruti Alto LX,2002,150000,80000,Petrol,19.7,796.0,46.3,5.0
18,Hyundai i20 2015-2017,2016,680000,100000,Diesel,22.54,1396.0,88.73,5.0
19,Mahindra Verito 1.5,2011,174000,100000,Diesel,21.0,1461.0,64.1,5.0
20,Honda WR-V i-DTEC,2017,950000,50000,Diesel,25.5,1498.0,98.6,5.0
21,Maruti Swift Dzire,2015,525000,40000,Diesel,26.59,1248.0,74.0,5.0
22,Maruti SX4 ZDI,2012,600000,72000,Diesel,21.5,1248.0,88.8,5.0
23,Tata Tigor 2017-2020,2018,500000,35000,Petrol,20.3,1199.0,83.81,5.0
24,Maruti Baleno Delta,2016,575000,45000,Petrol,21.4,1197.0,83.1,5.0
25,Maruti Alto 800,2017,275000,28000,Petrol,24.7,796.0,47.3,5.0
